fips,state_name,state_abbrev,county_name,population,poverty_percent,median_family_income,uninsured_male_percent,uninsured_female_percent,active_physicians,primary_care_md_rate,dentists_private,hospitals_count,hospital_beds_per_100k
1001,Alabama,AL,Autauga,60342,11.8,83790,10.7,9.4,43,24,21,1,77
1003,Alabama,AL,Baldwin,253507,12.4,89953,11.7,10.3,494,144,126,4,418
1005,Alabama,AL,Barbour,24585,26.7,55672,14.1,11.3,11,7,5,1,47
1007,Alabama,AL,Bibb,21868,20,70064,13,9.7,33,18,1,1,166
1009,Alabama,AL,Blount,59816,13.6,73528,14,11.6,18,12,7,1,25
1011,Alabama,AL,Bullock,9897,31.5,43750,13.6,11,3,2,3,1,54
1013,Alabama,AL,Butler,18382,23.4,59217,12.8,11.1,12,5,4,1,61
1015,Alabama,AL,Calhoun,116429,18.5,68959,14.7,11.7,170,57,41,3,429
1017,Alabama,AL,Chambers,34079,21,60000,14.7,10.6,23,12,5,0,0
1019,Alabama,AL,Cherokee,25666,15.5,63429,15,10.9,11,8,3,1,45
1021,Alabama,AL,Chilton,46431,15.8,72090,15.3,13.7,22,11,8,1,26
1023,Alabama,AL,Choctaw,12252,20.7,64349,14.2,11.3,5,5,4,1,25
1025,Alabama,AL,Clarke,22337,23.5,64688,13.8,10.9,11,9,8,3,66
1027,Alabama,AL,Clay,14111,17,60216,14.4,12.1,6,5,0,1,129
1029,Alabama,AL,Cleburne,15639,15.7,71833,13.6,10.9,5,3,2,0,0
1031,Alabama,AL,Coffee,55643,15.7,76211,14.5,10.5,49,22,15,1,99
1033,Alabama,AL,Colbert,58361,17.3,69400,11.7,9.8,78,28,20,2,284
1035,Alabama,AL,Conecuh,11174,30.1,55380,13,10,7,5,2,1,44
1037,Alabama,AL,Coosa,10268,18.1,64482,13.1,9.8,1,0,0,0,0
1039,Alabama,AL,Covington,37952,19.2,66211,13.7,12.7,37,16,11,2,137
1041,Alabama,AL,Crenshaw,13101,21.5,69602,15.7,11.6,4,2,2,2,93
1043,Alabama,AL,Cullman,92016,16.2,72331,13.1,11.2,96,36,34,1,145
1045,Alabama,AL,Dale,49871,20.5,67776,12.5,10.5,33,14,11,1,69
1047,Alabama,AL,Dallas,36165,32.9,52453,11.5,10.1,79,35,10,1,149
1049,Alabama,AL,DeKalb,72569,18.7,59225,21.2,17.8,46,27,20,1,115
1051,Alabama,AL,Elmore,90441,11.7,84463,13.2,10.4,36,16,10,2,96
1053,Alabama,AL,Escambia,36558,20.9,57329,15.1,12,23,6,9,2,82
1055,Alabama,AL,Etowah,103241,17.7,67242,13.7,12.6,203,71,39,4,549
1057,Alabama,AL,Fayette,15967,19.5,62336,13.7,10.5,26,13,4,1,167
1059,Alabama,AL,Franklin,31802,18.5,61857,15.9,13.7,17,11,5,2,114
1061,Alabama,AL,Geneva,26988,18.6,60345,14.9,12.6,11,8,3,1,147
1063,Alabama,AL,Greene,7341,30,53019,12.7,9.9,5,3,1,1,92
1065,Alabama,AL,Hale,14888,22.9,64661,13.8,11.2,12,4,2,1,20
1067,Alabama,AL,Henry,17899,15.8,75475,13.1,11,7,5,4,0,0
1069,Alabama,AL,Houston,108462,17.2,72526,13.5,11.4,392,85,55,5,797
1071,Alabama,AL,Jackson,53467,16.1,59400,15.7,12,48,26,13,1,92
1073,Alabama,AL,Jefferson,662895,16.4,83299,11.4,9.4,4653,707,470,14,4558
1075,Alabama,AL,Lamar,13661,18.1,63495,13.2,10.6,1,0,3,0,0
1077,Alabama,AL,Lauderdale,96814,13.3,76544,13.6,11.9,206,53,43,1,239
1079,Alabama,AL,Lawrence,33502,16.4,71188,15.9,14,8,7,2,1,43
1081,Alabama,AL,Lee,183215,15,86772,12.3,11.2,225,72,65,1,544
1083,Alabama,AL,Limestone,114654,9.9,95707,12.4,10.2,91,35,20,2,102
1085,Alabama,AL,Lowndes,9717,29.4,50126,11.8,10,1,1,0,0,0
1087,Alabama,AL,Macon,18370,32.4,52617,13.2,10.4,9,5,2,0,0
1089,Alabama,AL,Madison,412600,11.3,101032,9.7,9,1111,341,189,5,1319
1091,Alabama,AL,Marengo,18684,19.5,67083,12.3,10.1,12,8,4,1,47
1093,Alabama,AL,Marion,29244,17.6,63260,15.5,11.3,7,5,3,2,71
1095,Alabama,AL,Marshall,100756,16.5,71511,15.7,13.5,101,52,30,2,183
1097,Alabama,AL,Mobile,411640,19.2,70688,14.4,12.5,1400,283,149,7,1629
1099,Alabama,AL,Monroe,19229,20.7,59610,13.6,11.2,15,9,4,1,44
1101,Alabama,AL,Montgomery,224980,18.4,71258,13.3,11.2,659,207,112,6,1292
1103,Alabama,AL,Morgan,125133,13.1,79360,15,12.7,142,62,52,1,110
1105,Alabama,AL,Perry,7738,35.9,40462,13.8,11.4,5,3,1,0,0
1107,Alabama,AL,Pickens,18688,23.9,59738,13.3,10.7,8,6,2,0,0
1109,Alabama,AL,Pike,33137,27.4,68530,13,11.1,25,13,7,1,43
1111,Alabama,AL,Randolph,22786,20.3,62321,13.5,11.6,9,4,2,1,15
1113,Alabama,AL,Russell,58744,22.3,60960,11.9,10.8,30,11,12,2,90
1115,Alabama,AL,St. Clair,95552,12.6,83565,11.6,9.6,29,15,23,1,40
1117,Alabama,AL,Shelby,233000,6.8,112123,8.6,7.4,571,163,104,3,317
1119,Alabama,AL,Sumter,11727,31.1,46198,13.8,10.4,5,5,2,1,33
1121,Alabama,AL,Talladega,81132,18.3,66224,13.1,9.9,46,23,13,2,173
1123,Alabama,AL,Tallapoosa,40677,17.6,63358,14.5,11.7,55,17,10,2,94
1125,Alabama,AL,Tuscaloosa,237373,17,83129,10.7,9.1,515,146,83,6,1969
1127,Alabama,AL,Walker,64728,16.7,68810,13.6,11.3,73,28,23,1,178
1129,Alabama,AL,Washington,15022,16.7,75492,12.8,10.9,4,1,1,1,20
1131,Alabama,AL,Wilcox,9944,29.7,46269,13.1,10.4,3,2,1,0,0
1133,Alabama,AL,Winston,23611,18.3,61537,15.1,12.4,7,6,6,1,59
2013,Alaska,AK,Aleutians East (B),3461,16.2,79922,24.2,17.4,0,0,1,0,0
2016,Alaska,AK,Aleutians West (CA),5160,9.7,111607,21.7,17.2,2,2,2,0,0
2020,Alaska,AK,Anchorage (B),286075,10.4,115272,13,9.9,1104,288,232,7,1106
2050,Alaska,AK,Bethel (CA),18224,21.9,67266,17.1,14.7,17,13,7,1,82
2060,Alaska,AK,Bristol Bay (B),844,13.6,104688,18.7,15.5,0,0,0,0,0
2063,Alaska,AK,Chugach (CA),6769,6.7,96290,15.6,14.2,10,10,4,0,0
2066,Alaska,AK,Copper River (CA),2674,13.9,95208,17.1,14.7,0,0,1,0,0
2068,Alaska,AK,Denali (B),1584,7.3,131750,15.3,11.5,1,1,0,0,0
2070,Alaska,AK,Dillingham (CA),4607,19.7,72500,19.8,15.8,11,10,0,1,16
